id,title,default_price,default_unite
272,"ROBINET D'arr?t ",104.17,U - Unité
273,DOUILLE ,58.33,U - Unité
274,GANTS ,15,U - Unité
275,B27 XCA2 D25 S2,0,
276,CABLE 2.5,2.08333,M-Mètre
278,PRISE 220V,0,
279,PRISE 380V,0,
280,LA POMPE GRAISSE,0,
281,NIVEAU A EAU,0,
282,FUSIBLE ,0.8,U - Unité
283,GRILLAGE,30,
285,POUTRELLE 114,0,
286,BROUETTE 1er choix,458.333,Unité
287,PLAQUE TOLE METAL 3.5,241.666,U - Unité
288,BITUME VERT N?3MM,0,
289,MOUNICOUCHE N?3MM,275,Rlx - Rouleau
290,RECHARGE GAZ 12K,383.33,
291,BOUTEILLE VIDE DE GAZ 35K,333.333,U - Unité
292,AUGE Ma?on,25,U - Unité
293,PLASTIQUE,30,
294,ROULEAU DE FIL,0,
295,ROULEAU DE FEUTRE 36 EUROTOP,275,Rlx - Rouleau
296,RECHARGE GAZ 35K,383.333,U - Unité
297,REGLE ALU 3M,150,U - Unité
298,REGLE ALU 2M,0,
299,BAGUETTE ANGLE 2M,5.8333,U - Unité
300,BIDON FLINKOT EAU 20K,220,Unité
301,DISQUE DE MEULEUSE ,20,
302,TOURNEVIS,15,
303,COUTEAU ENDUIT,0,
304,POIGNE DE PORTE,0,
305,LAMPE SIGNAL,2.5,
306,PELLE,40,
307,CISAILLE,0,
308,MOUNICOUCHE N?4MM,0,
309,CHALUMEAU A GAZ,0,
310,CIMENT TURQUE,0,
311,Lama fer,5,
312,Gravette 1/5,20,
313,COUDE (KADOUS),10.83,U - Unité
314,SEAU,0,
315,Transport Agadir-Kelaat Sraghna,833.33,U - Unité
316,Pinceau 85mm,16.67,U - Unité
317,JOUAN,5.5,
318,YAJOUR ,0,
319,DISC 30/60,30,
320,Chiffon,4.16667,Unité
321,griffa 12-14,50,
322,griffa 6-8,50,
323,Raclette,45,U - Unité
324,"Eau d'acide",10,L - Litre
325,Recharge 30,16.6666,U - Unité
326,Recharge 60,25,
327,Recharge 180,30,
328,Recharge ,12.5,U - Unité
329,Serrage,70,
330,Huile pour serrage,40,
331,SCIE,30,
332,TALOCHE,30,M²
333,RATEAU,50,
334,BAGUETTE MARTOB,5.8333,U - Unité
335,JRARA FER ,0,
336,ANTIROUILLE ATLAS GRIS EN 5KG,108.333,Unité
337,Baguette feince,10,
338,Masque de s?curit?,0,
339,"CLE 13, 14",4,
340,VICE 4X50,18,PAQUET
341,"TUYAU D'EAU",8.33333,M-Mètre
342,Plus/ Carrelage,0,
343,Joint cuivre mosaique,75,PAQUET
344,Papier alum,0,
345,Caoutchou ,366.667,U - Unité
346,Palette bois,0,
347,Plomberie LOGEMENT PERSONNEL ,15000,U - Unité
348,Divers,11, F-FORFAIT
349,JOINT12/4,0.7,
350,SIKA,66.666,Kg - Kilogramme
351,plinthe inox,0,
352,PLASTIQUE DE SERRE,16.666,M-Mètre
353,ESPECE,75000,DH (dirhams)
356,CABLE ,2.0833,M-Mètre
357,ROULEAU 13,0,
358,Pince ? ferrailler,10,
359,SEL,625,
360,ENDUIT,250,
361,Boite Etanche,20.83,U - Unité
362,Disjoncteur 2*25 A,370,
363,Fiche Electrique,8,
364,Cable 3*2.5 ,0,
365,Cheville 12,0.416667,Unité
366,Laky 5kg,160,U - Unité
367,Clef simple,14,
368,papier abrasif 180,2.5,FEUILLE
369,POIGNE DE FENETRE,0,
370,VISE 4*40,0,
371,CIMENT BLANC 50KG,75,SAC 
372,CLEF DOUBLE ,58,
373,LAKY 20KG,780,
374,Cuivre 32,120,Ml - Mètre linéaire
376,Toilette turque,0,
377,Receveur Jacob,0,
378,Grattoir,0,
379,papier abrasif 100,4.16667,M-Mètre
380,laky 25kg,0,
381,TEINTE CREME HUILE,12.5,U - Unité
382,CARTE 220,0,
383,RALLONGE INGELEC,0,
384,CONTEUR ELECTRIQUE,0,
385,BOULON ,1.25,U - Unité
386,RONDELLE (8/30),0.833333,U - Unité
387,DISQUE 180,0,
394,SABLE,1200,M3 - Métre Cube
395,AGGLOS 10/40,1,
396,BARRA FER,45,
398,COUDE 75 PVC,50,
399,COUDE 110 PVC,10.83,U - Unité
400,DISC GRANI 18,100,
401,ESSENCE,300,ENS
402,SAVON MAROCAIN BELDI,20,
403,FILASSE 500G,83.3333,Kg - Kilogramme
404,EPONGE,2.5,
406,DISC 120,5,
407,SINTOFER,50,
408,PIOCHE,90,
409,T 75 PVS ,10,
410,CORDE,2.5,M-Mètre
411,DISC,10.8333,U - Unité
412,PVC 40 (Tube PVC 40 ABP),10,M-Mètre
413,LAKY 15KG,760,U - Unité
414,PVC 75,37.5,M-Mètre
415,100 PVC,38,
416,HUBLOT ,65,
417,LAMPE LED,12.5,Unité
418,COUDE 100 PVC,35,M-Mètre
419,FILET ,12,
420,PANEL 18W,100,
421,ARRET FUSIBLE,0,
422,ARRET FUSIBLE,10,
423,LES ATTACHES N8,10,
424,T 20 PVC,4,
425,MANCHON,20.83,U - Unité
426,CLE PLAT,10,
427,CLE PIP,25,
428,CLE GM,20,
429,GOULOTTES electrique,22,
432,situation du mois 12,56666.7,U - Unité
433,GRAVILLON G1,40,M3 - Mètre Cube
434,BOITE INTERRUPTEUR PRISE,0.5,
435,CABLE 1.5,1.25,M-Mètre
436,DOMINO ?LECTRIQUE,19,
437,paquette cuivre,0,
438,Douille e27,5.5,
439,boite 10*10,10,
440,TUBE ORANGE 13 VISA FLEX,3.15,M-Mètre
441,BOUTON POUSSOIR ,32.5,U - Unité
442,CABLE SOUPLE 5/2,6.8,
443,DISJONCTEUR NON DIFF?RENTIEL BPA,100,
444,Disjoncteur 2*25 A /30 MA,300,
445,DISJONCTEUR NON DIFF?RENTIEL 4*40A,100,
446,DISJONCTEUR  DIFF?RENTIEL ,300,U - Unité
447,BLOC SECOURE,160,
448,CLEF VA ET VIENT,32,
449,CLEF ?TANCHE,48,
450,PRISE 2PA,22,
451,BOUTON ETOILE,0,
452,PRISE RJ45,40,
453,COMPTEUR,150,
454,ROBINET SERVICE 1/2,50,Unité
455,RACCORD 1/20 * 16,0,
456,TE EGAL 16,25,U - Unité
457,COUDE MALE 16,25,U - Unité
458,MAMLOU 16,20,U - Unité
459,flexible lavabo,25,
460,mixte male,8.33,U - Unité
461,huile de d?capage,46,
462,leader mate atlas 20kg,650,
463,recharge rouleau peinture,10,
464,rouleau akrly,65,
465,scotch peinture,8.33,U - Unité
466,enduit 25kg,100,SAC 
467,stop astral 5kg,100,Unité
468,TEINTE HUILE NOIR,15,U - Unité
469,raccord male 25 ppr,23.33,U - Unité
470,manchon 25ppr,3.33333,U - Unité
471,r?duction 1/2 * 3/4 ,15.83,U - Unité
472,rose colier,20.83,U - Unité
473,soudeur,4000, F-FORFAIT
474,fusible complet,88,
475,coude ikir 25ppr,4.17,U - Unité
476,TE EGAL  25 PPR,5.83,U - Unité
477,COUDE IKIR 40,6,
478,JOINT 32,0.5,
479,RACCORD 40,12.5,U - Unité
480,POLYTILON 32,10.8333,M-Mètre
481,GOULOTTE 40 PVC,15,
482,vanne 32,12.5,U - Unité
483,TE EGAL POLYTILANE 32,15.83,U - Unité
484,TE EGAL 25 PPR 1/2,23.33,U - Unité
485,RACCORD 1/2*20,32,
486,ROBINET EQUERRE,40,U - Unité
487,FLEXIBLE 1/2,20,U - Unité
488,Coude PVC 1/4. 32,3.3333,Unité
489,reduction 40/32,5.5,
490,COLLE PM,10,
491,DOULION 10,15,
492,HUBLOT PM,35,U - Unité
493,LAMPE 45/20,200,U - Unité
494,RAIL DE TABLEAU ELECTRIQUE,18,M-Mètre
495,R?PARTITEUR R?SEAU,200,U - Unité
496,CADRE LAMPE 1.2M,65,U - Unité
497,CAOUTCHOU  ITRI PLUS (30 kg),266.667,SEAU
498,TELEREPTEUR,100,U - Unité
499,FLEXIBLE 1/2*3/8 F/F,20.83,U - Unité
500,ROBINET 1/2 FROID,130,
501,SIPHON 40,29.1667,Unité
502,MIXTE M/F ,13,
503,SILICONE BLANC,16.6667,Unité
504,COUDE 1/4 40 (COUDE PVC 1/4 40),3.3333,U - Unité
505,BLOC W.C BLANC,680,
506,ROBINET IKIR 1/2*1/2,0,
507,CIMENT G40,0,
508,POINTE10,8.33334,Kg - Kilogramme
509,TRIER SOUD?E,58.333,U - Unité
510,JOINT 15/8,100,PAQUET
511,GRIFFA,40,
512,tube pvc 75,20.8333,M-Mètre
513,gravette mince mosaique,25,
514,pl?tre qods ,15,
515,peinture rouge/vert,40,
516,GASOIL 50,6.67,L - Litre
517,borne sur rail,20,
518,boite domino 16mm,13.5,
519,fusible ppr,25,
520,interrupteur double,18,
521,rail omega,25,M-Mètre
522,?vier 50/40,450,
523,butoir de porte ,10,
524,fusible f/p 3/8,25,
525,prise galaxy,25,
526,flexible 3/8,24,U - Unité
527,raccord 3/8,10,
528,mamlou 1/2,25,U - Unité
529,rallonge toilette ,67,
530,scotch Electrique,8.33333,Rlx - Rouleau
531,auge (gamate),30,
532,film polyane,16.6667,Kg - Kilogramme
533,interrupteur diff?rentiel 2*25A,320,
534,interrupteur diff?rentiel 2*25B,300,
535,PERCHE POUR ROULEAU PEINTURE,100,
537,Jetton ,100,U - Unité
538,Connecteur,20.8333,U - Unité
539,Pince,7,
540,Collier electricite,1.5,
541,Boite fa?ade PM,150,
542,Coffre 2 fil,120,
543,Piquet de terre (piquet de terre 1M AISCAN),45,Unité
544,Borne de terre,28,
545,Armoire Electrique PM,450,
546,Collier ,11.6666,U - Unité
547,TUBE POLYTHELENE,1,
548,TUBE RETUBE,8.33333,M-Mètre
549,MASSETTE,100,
550,BURIN,10,
551,coude 1/2 ,23.33,U - Unité
552,coude applique,20,
553,griflex,6,
554,lavabo collectif,750,U - Unité
555,lame de scie,8.33333,Unité
556,mamlou 3/8,23.333,U - Unité
557,coude ikir 100,16,
558,coude 40,9.17,U - Unité
559,boite orange,1.6666,U - Unité
560,t?le ondule 3.5,241.67,U - Unité
561,raccord compteur eau ,20,
562,TE femelle ,20,U - Unité
563,COUDE M 16*16,18,
564,COUDE CPVC 1/4 20,5,U - Unité
565,papier abrasif 40,4.16667,M-Mètre
566,interrupteur simple(Interr SA GALAXY LAP),12,Unité
568,coude ?gal,18,U - Unité
569,raccord mixte ,12.5,U - Unité
570,TE 40,10,U - Unité
571,RALLONGE,7.3333,M-Mètre
572,ressage  robinet,8,U - Unité
573,joint toillette,12,U - Unité
574,flotteur w.c ,83.33,U - Unité
575,fixation toilette ,8,
576,PELLE + MANGO,50,Unité
577,SI?GE DE TOILETTE ,70,
578,Silicone,50,Unité
579,Coloflex,550,
580,20*20 blanc,2,
581,ref 35022,56.6666,
582,cuivre 28mm,24.85,M-Mètre
583,graisse orwil speciale 15kg ,408.33,
584,film solofan 2kg,41.6667,Rlx - Rouleau
585,PVC 100,20.8333,M-Mètre
586,BUSE PVC 40,40,
587,CORDEX DE Tra?age,20,
588,PAVES GRIS,45.78,Kg - Kilogramme
589,PAVES ROUGE,63,
590,robinet sanitaire 1/8  3/8,125,U - Unité
591,robinet sanitaire ,50,
592,cuivre crome,54.17,M-Mètre
593,raccord mixe crome M/F 3/8,11,
594,RACCORD MIXE M/F 1/2 1/2,14,
595,FLEXIBLE DE BRANCHEMENT 1/2  F F  ,20.83,U - Unité
596,COLLE,65,
597,FIXATION LAVABO,10,Unité
598,ROSACE,6.67,U - Unité
599,MELONGEUR DOUCHE ,240,U - Unité
600,TOILETTE  ANGLAIS ,760,
601,PORTE PAPIER HYGIENIQUE REMER,154.167,Unité
602,MIROIR,0,
603,CHAUFFE EAUX,2400,
604,JOINT 1/2,0.166667,Unité
605,JOINT 3/8,0.166667,Unité
606,JOINT 3/4,0.25,Unité
607,RACCORD 1/2 * 16,12.5,U - Unité
608,PORTE SERVIETTE ,83.33,U - Unité
609,PORTE SAVON REMER,166.667,Unité
610,LAVABO SUR  COLON ,388,
611,LAVE MAIN 50mm,138,
612,PIERRE ,500,Voyage
613,PROJECTEUR LED  150W,680,
614,CABLE CAPOTAIN,4,M-Mètre
615,FICHE MALE A TERRE ,8.33,U - Unité
616,miche ,8.3333,U - Unité
617,barrette domino,15,
618,HOURDIS 25*20*54,7.4,U - Unité
619,PTS 3.5R*3.5R,67,U - Unité
620,PL PRECONTAINTE 113 D 4 ,24,Ml - Mètre linéaire
621,HOURDIS 16*20*54,5,U - Unité
622,PL PRECONTAINTE 166 D 5,43,Ml - Mètre linéaire
623,EXTINCTEUR A EAU ,300,
624,EXTINCTEUR A CO2 6KG ,550,
625, POLYSTENE 5CM,12.5,Plq - Plaque
630,huile ,21.67,L - Litre
631,eau de refroidissement,12,
632,VIDANGE ,39.09,L - Litre
633,Situation mois 01/2020,274064, F-FORFAIT
634,Situation mois 02/2020,26381.6, F-FORFAIT
635,SAVOTAGE 70/1.50,58.33,U - Unité
636,BUSE 200 PVC ,25,U - Unité
637,BUSE 160 PVC ,33.3333,
638,ACIER T20,6,Kg - Kilogramme
639,GNF,41.67,M3 - Mètre Cube
640,mango pioche,0,
641,arrache clou,20.8333,U - Unité
642,Vibreur complet,2450,U - Unité
643,tube nean starter 40W ,12.5,U - Unité
644,boite glasse,8.33333,U - Unité
645,lavabo,0,
646,LAVABO,240,U - Unité
647,MELONGEUR TOILETTE,100,U - Unité
648,FIXATION(bolon lavabo),8.33,U - Unité
649,PRISE POUR RALLONGE,5.8333,U - Unité
650,COUDE OUVERT,15,U - Unité
651,STARTER LAMPE,6.67,U - Unité
652,PISTOLET SILICONE,34,U - Unité
653,ANTIROUILLE GRIS ,25,Kg - Kilogramme
654,TE 100,30,U - Unité
655,BOUCHON 100,28,U - Unité
656,DOUCHETTE,20.83,U - Unité
657,tuyeau gorge ,20,M-Mètre
658,JOURNAL ,12.5,Kg - Kilogramme
659,TUBE ORANGE 16 VISA FLEX,3.15,M-Mètre
660,BOITE CARRE VERT,2.08,U
661,ROULETTE METRE 7.5,83.33,U - Unité
662,TUYEAU VISA 13,2.5,M-Mètre
663,TUYEAU VISA 16,3.3333,M-Mètre
664,POLYSTERENE 2CM,8,U - Unité
665,peinture poudre ,20,Kg - Kilogramme
666,Tuyeau Balitaine 32,0,
667,STARTERS 4A,3,U - Unité
668,FICHE FEMELLE 2P+T,5,Unité
669,SORTIE DE FIL GALAXY BLANC,10.8333,U - Unité
670,APPLIQUE LAVABO INTER+PRISE,34,U - Unité
671,tuyau orange 11,2.0833,M-Mètre
672,PL PR?CONTRAINTE 114 D5,35,Ml - Mètre linéaire
673,MONOCOUCH 36 S,225,Rlx - Rouleau
679,DIVERS ACCESSOIRE POUR B?TONNI?RE ,786,U - Unité
680,MOUNICOUCHE N? 2MM,191.667,Rlx - Rouleau
684,MENUISERIE  ALUMINIUM ,625,Ml - Mètre linéaire
686,Situation mois 03/2020,2360.08, F-FORFAIT
687,Entretien,1574.57, F-FORFAIT
688,Frais Immatriculation,7335,
690,PEINTURE NOIR MOSEIQUE N?1,23.3333,Kg - Kilogramme
691,PALETTE DE PLOMB ,200,U - Unité
692,LA MACHINE VOSILITE ,108.33,U - Unité
693,CRIPINA,66.67,U - Unité
694,TALOUCHE (MINI),12.5,U - Unité
695,PVC 50,16.6667,M-Mètre
696,TIGE 8,10,U - Unité
697,COLLIER ATLAS 16,2.08333,Unité
698,TE BALLAN,83.33,U - Unité
699,BALLAN ,291.67,U - Unité
700,MACHINE ENDUIT ,83.33,U - Unité
701,FIL DE CRIN ,37.5,BARRE
702,BUSE PVC 110,25,U - Unité
703,PRESOSTA,66.67,U - Unité
704,MANOMETRE,41.67,U - Unité
705,CITERNE NOIR ,2500,U - Unité
706,PPR 32,20,M-Mètre
707,CLAPI ,45.833,U - Unité
708,BOUCHON ,12.5,U - Unité
709,MIXE 1/2*16,12.5,U - Unité
710,TERFONE,1.25,U - Unité
711,coude 1/8,5,U - Unité
712,RACCORD POLYTELAIN,12.5,U - Unité
713,Pompe innerg?e IDROGO,3600,U - Unité
714,CABLE TH U500,6.5,M-Mètre
715,Peinture vinylique sur murs ext?rieurs,40,M² - Mètre Carré
716,Peinture type acrylique mate a eau lavable sur murs et plafonds,32,M² - Mètre Carré
717,Peinture type acrylique brillante ? eau lavable sur murs et plafonds,30,M² - Mètre Carré
718,Peinture type acrylique brillante ? eau lavable sur menuiserie bois,30,M² - Mètre Carré
719,Peinture glyc?rophtalique laqu?e sur menuiserie m?tallique,30,M² - Mètre Carré
720,R?paration et peinture des portes existante,500,U - Unité
721,Branchement au r?seau ?lectrique ,20000,ENS
723,Branchement au r?seau Eau Potable ,15000,ENS
724,POMPE ,2100,U
725,MANCHON 32,15,U - Unité
726,RETUBE 16 (1 RLX=200m),5,M-Mètre
764,enretien,1000,U - Unité
765,TIRAGE DES PLANS,1041.58,ENS
769,PANNEAUX SANDWICH 80MM,286.66,M² - Mètre Carré
770,Machine : Talocheuse ? b?ton 1.20m (h?licopt?re ? b?ton),9585,U - Unité
771,CORNER INT?RIEUR,34,M-Mètre
772,SIPHON DU SOL 15 inox ( siphon 10x10 chrome),50,U - Unité
773,BOTTE (pointure 42),65,U - Unité
774,BOTTE (pointure 43),73.3333,Unité
775,Seau Mat essence 20Kg Atlas,400,SEAU 
776,Tinte huile creme,12.5,U - Unité
777,Rouleau film polyane,15,Kg - Kilogramme
778,ACHAT VERRE TREMPE,2200,ENS
779,FIXATION DE SKYD?ME,4400,ENS
780,ACHAT DE FARINE,4800,ENS
781,"ACHAT D'INJECTEUR",2700,ENS
782,U DE SOLE 80MM,62.7,M-Mètre
783,PORTE 2.14M/1.86M POSITIVE,5510,U - Unité
784,PORTE 2.14M/0.97M POSITIVE,3750,U - Unité
785,COMPRESSEUR 5 CV BITZER POSITIVE,21757,U - Unité
786,EVAPORATEUR POSITIVE BITZER,10538,U - Unité
787,THERMOSTAT DIGITAL AIR WELL,323,U - Unité
788,ELECTROVANNE 1/2,256.5,U - Unité
789,BOBINE,158.33,U - Unité
790,FILTRE D?SHYDRATEUR 1/2 FILET? ,173.85,U - Unité
791,VOYANT DE LIQUIDE 1/2,149,U - Unité
792,DETENDEUR THERMOSTATIQUE EXTERNE,592.8,U - Unité
793,CUIVRE 3/4,788,Ml - Mètre linéaire
794,CUIVRE 1/2,433,Ml - Mètre linéaire
795,FERON R404a HARP,1083.33,U - Unité
796,ANCIEN CREDIT ,349.67,ENS
797,GRANIT ROSE,19223.3,ENS
798,Bouchon tube carr? 20*20,2.08,U - Unité
799,CONDUIT CIRCULAIRE SPIRALE EUROV.B - DIAM.200 TPG,39,Ml - Mètre linéaire
800,COUDE 90? SECT EUROV.B - DIAM.355 TPG,81.9,U - Unité
801,REDUCTION CONCENT SECT. EUROV.B - DIAM.250*200 TPG,51.03,U - Unité
802,BOUCHON MALE VIROLE EUROV.B- DIAM.200 TPG,15.6,U - Unité
803,PIQUAGE ?QUERRE EUROV.B - DIAM.200*200 TPG ,31.2,U - Unité
804,MANCHETTE DE RAC SOUPLE M01 35/40/35 PVC (25m/R),421.85,Rlx - Rouleau
805,BANDE ADHESIVE 45M/50MM/30 MICRONS ALUMINIUM,33.8,U - Unité
806,ZELIJ BELDI MOSQUE,62000,ENS
807,COLLIER SUSPENSION CIR A/JOINT PDM M08 DIAM.355 A CADMIE,24.05,U - Unité
808,CAISSON AIR NEUF CVMTD 12 MOTEUR T. DIRECT MONO 0.75KW,3479.13,U - Unité
809,TES DROIT EGAL SECT EUROV.B DIAM.355 TPG,130.33,U - Unité
810,RESTE ANCIEN,9000,ENS
811,RACCORD MALE A VIROLE EUROV.B DIAM.315TPG,13.98,U - Unité
812,Machin talocheuse a beton 1.20m (helecoptere,0,
813,Poigne FF Arossol,75,U - Unité
814,Chambre Froide,22000,ENS
815,VMC ,15000,ENS
817,ETANCHEITE,40,M²
818,RELEVE ETANCHEITE,15,M-Mètre
819,SPOT ETANCHE 7 MM + LAMP+CU 10,73.33,U - Unité
820,PETITE SPOT BLANC ORIENTABLE EXTERIEURE+LAMP+CU10,54.1667,U - Unité
821,SPOT LUXE LED+LAMP+CU10,87.5,U - Unité
822,PETITE SPOT ELITE 10W,37.5,U - Unité
823,LUMAX SANSIED SIMPLE +LAMP+CU10,87.5,U - Unité
824,BOUTON POUSSOIR ETANCHE ANCASTRE,25,U - Unité
825,PRISE RJ45 INGELEC TEC KA2,16.666,U - Unité
826,PRISE RJ45 NILOE,47.5,U - Unité
827,SEAU PEINTURE 30 KG ITRIPLAST ATLAS,295.833,SEAU 
828,SOLDE CLIENT ANCIEN,156628,ENS
829,ELITE BG 27/81,79.1,M² - Mètre Carré
830,RIZO ELITE BG,79.167,M² - Mètre Carré
831,ROYALE BG 27/81,79.167,M² - Mètre Carré
832,ETRA DECOS 27/81,79.167,M² - Mètre Carré
833,STONE BG 27/81,79.167,M² - Mètre Carré
834,BALI GRIS 60/60,100,M² - Mètre Carré
835,TAIPI BRILLO 60/60,100,M² - Mètre Carré
836,SAMARA BG 20/60,83.334,M² - Mètre Carré
837,bonde avec tro plane,79.17,U - Unité
838,mitigeur evier cleuvre,304.17,U - Unité
839,semi colone  JA,141.67,Unité
840,receveur de douche70 roca,400,U - Unité
841,douchette remer ,216.667,U - Unité
842,chauffe eau 30l chauffoteaux,1100,Unité
843,coude 1/8  40 (coude PVC 1/8  40),3.3333,Unité
844,mixte m/f  1/2 SP (RACCORD MIXTE 1/2 MF),5,U - Unité
845,CHEVILLES 8,0.17,U - Unité
846,douchette w.c simple,62.5,U - Unité
847,TE 20,5.8334,U - Unité
848,ppr 20,7.5,M-Mètre
849,ppr 25,12.0833,M-Mètre
850,vanne ppr 20,91.6667,U - Unité
851,Te ppr 32 COPRAX,13.3333,Unité
852,reduction 32/20 ppr,4.16667,Unité
853,coude 1/2 20 ppr,19.1667,U - Unité
854,van ppr 25 simpe,133.33,U - Unité
855,reduction 32/25 ppr,5,U - Unité
856,coude iker 25 ppr,4.17,U - Unité
857,CORNER BOX 8CM EN SIMILI SICLA,37.5,U - Unité
858,CHEMISE CARTONNEE LUX 240 G 100 CTN,62.5,PAQUET
859,coude iker 20 ppr ,2.92,U - Unité
860,coude ppr 32,6.67,U - Unité
861,coude over 32,6.67,U - Unité
862,ALUMINIUM PLACARD  CUISINE,26982.2,ENS
863,coude over 20,3.75,U - Unité
864,reduction 32/63,37.5,U - Unité
865,monchon 32,6.666,U - Unité
866,monchon 20,2.92,U - Unité
867,monchon 25,3.75,U - Unité
868,Porte serviette Remer,191.667,Unité
869,Porte papier Remer,100,U - Unité
870,Mirroir avec ?tager,180,U - Unité
871,Ferme-porte,208.33,U - Unité
872,CARRELAGE,681.666,ENS
873,Tube pour rideau de douche,0,
874,FER A U 40,91.67,U - Unité
875,T?LE ESPAGNI 15 (AVEC MOTIF),266.67,U - Unité
876,"TUBE 40/40 x1,5",108.33,U - Unité
877,SERRURE DORLK + VISSE,50,U - Unité
878,FER PLAT 25/3,33.3333,Unité
879,"TUBE CARRE 20/20 x1,5",12.5,KG
880,VOYAGE ABDERAHIM LAAYOUNE LAS PALMAS,1356.67,ENS
881,HOTEL ABDERAHIM A LAS PALMAS,3916.67,ENS
883,DISJONCTEUR ET BORNE ET EMBOUT,2269.1,ENS
884,TUBE ORANGE D.21 VISA FLEX ,5.15,M-Mètre
885,"CABLE 3x2,5 MM?",7.0799,M-Mètre
886,PRISE ETANCHE ENCASTRE SIMPLE,25,U - Unité
887,SERRURE PLACARD,33.333,U - Unité
888,CELLOPHANE,41.67,Rlx - Rouleau
889,PEINTURE GRIS,23.333,Kg - Kilogramme
890,MIROIR 60*80cm bizot?e,0,
891,Baignoire 170*170,1541.67,U - Unité
892,Climatiseur 18000 BTU,0,
893,Dent Zakaria Oulime,23000,ENS
894,Tableau ?lectrique Chambre Froide  ,11417.5,U - Unité
895,ESSENCE WHITE SPIRITE 5L,91.6667,U - Unité
896,Disque Diamant pour scie de sol,915.83,U - Unité
898,RELEV? DE COMPTE ,163267,DH (dirhams)
899,Compresseur Batterie L3,791.67,U - Unité
900,"JANTE DE 5 GOUJON R17,5",500,U - Unité
